"gene_symbol","n_diseases","mean_score","max_score","ensembl_id","entrez_id","uniprot_ids","protein_classes","diseases","total_pmids","mean_evidence","years_studied"
"SLC25A27",1,0.7,0.7,"ENSG00000153291",9481,"O95847; B4DHR4","Transporter","Schizophrenias",2,0.5,"2007-2011"
"SLC25A4",1,0.7,0.7,"ENSG00000151729",291,"A0A0S2Z3H3; P12235","Transporter","Bipolar Disorders",2,1,"2003-2013"
"SLC9A6",1,0.7,0.7,"ENSG00000198689",10479,"Q92581; A0A1B0GV11","Transporter","Childhood autism",1,1,"2021-2021"
"SRGAP3",1,0.7,0.7,"ENSG00000196220",9901,"O43295","Enzyme modulator","Schizophrenias",1,1,"2012-2012"
"SSTR5",1,0.7,0.7,"ENSG00000162009",6755,"P35346","G-protein coupled receptor","Bipolar Disorders",2,1,"2002-2010"
"TBP",1,0.7,0.7,"ENSG00000112592",6908,"P20226; Q32MN7","Transcription factor","Schizophrenias",2,1,"2005-2009"
"TNFRSF1A",2,0.7,0.75,"ENSG00000067182",7132,"J9PH39; P19438","","Depression; Schizophrenias",5,0.944444444444444,"2006-2013"
"TNXB",1,0.7,0.7,"ENSG00000168477",7148,"Q6IPK3; O95680; Q9Y464; O95681; P22105","","Schizophrenias",2,0.857142857142857,"2004-2007"
"TSNARE1",1,0.7,0.7,"ENSG00000171045",203062,"Q96NA8; Q6P186; E5RHT3","Transporter","Schizophrenias",1,1,"2013-2013"
"TXNDC5",1,0.7,0.7,"ENSG00000239264",81567,"Q8NBS9; A0A024QZV0","","Schizophrenias",1,0.733333333333333,"2009-2009"
"ZIC2",1,0.7,0.7,"ENSG00000043355",7546,"O95409","Transcription factor","Schizophrenias",1,1,"2011-2011"
"GSTM1",4,0.6875,0.8,"ENSG00000134184",2944,"X5D932; X5DR03; P09488","","Schizophrenias; Childhood autism; Depression; Bipolar Disorders",9,0.822916666666667,"1992-2012"
"HTR3A",4,0.6875,0.75,"ENSG00000166736",3359,"P46098; B4E398","Ion channel","Schizophrenias; Depression; Childhood autism; Bipolar Disorders",9,0.895833333333333,"2001-2012"
"CRHR2",3,0.683333333333333,0.8,"ENSG00000106113",1395,"Q13324; A0A090N7T4","G-protein coupled receptor","Depression; Anxiety Disorder; Bipolar Disorders",6,0.90952380952381,"2000-2009"
"CSMD1",3,0.683333333333333,0.9,"ENSG00000183117",64478,"Q96PZ7; Q59FF8","","Schizophrenias; Bipolar Disorders; Childhood autism",11,0.983333333333333,"2011-2021"
"DAO",3,0.683333333333333,0.95,"ENSG00000110887",1610,"A0A024RBI1; P14920","","Schizophrenias; Bipolar Disorders; Childhood autism",6,0.885227272727273,"2005-2012"
"FGFR1",3,0.683333333333333,0.7,"ENSG00000077782",2260,"A0A0S2Z3Q6; P11362","Kinase","Depression; Schizophrenias; Bipolar Disorders",9,1,"2003-2013"
"HLA-DRB1",3,0.683333333333333,0.75,"ENSG00000196126",3123,"Q5Y7D1; A0A224MM52; X5DNQ0; D7RIH8; P01911","Immune response","Schizophrenias; Childhood autism; Bipolar Disorders",3,1,"1996-2013"
"NPS",3,0.683333333333333,0.75,"ENSG00000214285",594857,"P0C0P6","","Anxiety Disorder; Schizophrenias; Depression",4,0.981481481481482,"2009-2012"
"PPP1R1B",3,0.683333333333333,0.8,"ENSG00000131771",84152,"B3KVQ9; Q9UD71","Enzyme modulator","Schizophrenias; Bipolar Disorders; Depression",10,0.933862433862434,"2008-2014"
"SOD2",3,0.683333333333333,0.75,"ENSG00000291237",6648,"A0A384NL29; Q96AM7; P04179; Q9UG59; G5E9P6","Enzyme","Depression; Schizophrenias; Bipolar Disorders",4,0.87037037037037,"2010-2012"
"ST8SIA2",3,0.683333333333333,0.75,"ENSG00000140557",8128,"Q92186; B2R9U8; Q4VAY9; C6G488","","Schizophrenias; Childhood autism; Bipolar Disorders",7,1,"2007-2015"
"AR",2,0.675,0.75,"ENSG00000169083",367,"P10275; Q9NUA2; G4VV16; A0A087WUX9; F1D8N5","","Depression; Childhood autism",5,0.866666666666667,"2009-2014"
"ATP2A2",2,0.675,0.7,"ENSG00000174437",488,"A0A0S2Z3L2; P16615","Transporter","Schizophrenias; Depression",3,1,"2001-2012"
"CALM2",2,0.675,0.75,"ENSG00000143933",805,"P0DP24; P0DP25; Q96HY3; B4DJ51; P0DP23","","Depression; Bipolar Disorders",6,1,"2005-2014"
"CHRFAM7A",2,0.675,0.75,"ENSG00000166664",89832,"A0A0A6YYA8; P36544; Q494W8","","Schizophrenias; Bipolar Disorders",5,0.913690476190476,"2008-2013"
"CTNND2",2,0.675,0.75,"ENSG00000169862",1501,"B4DRK2; E7EPC8; B4DJU1; Q9UQB3","Cellular structure","Schizophrenias; Anxiety Disorder",3,0.583333333333333,"NA-NA"
"GPX1",2,0.675,0.75,"ENSG00000233276",2876,"A0A2R8Y6B6; Q7L4Q3; P07203","Enzyme","Depression; Childhood autism",2,1,"2010-2013"
"GRIA1",4,0.675,0.8,"ENSG00000155511",2890,"P42261; Q59GL5","Ion channel","Schizophrenias; Depression; Bipolar Disorders; Childhood autism",8,0.8375,"2001-2014"
"GRM4",2,0.675,0.75,"ENSG00000124493",2914,"A8K0J8; A1L4F9; Q14833; B7ZLU9","G-protein coupled receptor","Schizophrenias; Bipolar Disorders",3,0.909090909090909,"2005-2013"
"HPGDS",2,0.675,0.75,"ENSG00000163106",27306,"O60760; A0A384P5J0","","Schizophrenias; Bipolar Disorders",5,0.803571428571429,"2010-2014"
"IL6R",2,0.675,0.7,"ENSG00000160712",3570,"A0N0L5; A0A087WTB5; P08887","Signaling","Schizophrenias; Depression",2,0.9375,"1994-2011"
"ITIH1",2,0.675,0.7,"ENSG00000055957",3697,"P19827; B7Z8B6","Enzyme modulator","Bipolar Disorders; Schizophrenias",4,1,"2011-2019"
"ITIH3",2,0.675,0.7,"ENSG00000162267",3699,"Q06033","Enzyme modulator","Schizophrenias; Bipolar Disorders",5,0.96875,"2011-2014"
"MDK",2,0.675,0.7,"ENSG00000110492",4192,"P21741","Signaling","Schizophrenias; Anxiety Disorder",2,1,"2009-2012"
"NDUFV2",2,0.675,0.75,"ENSG00000178127",4729,"P19404","","Bipolar Disorders; Schizophrenias",6,1,"2008-2010"
"NLGN2",2,0.675,0.7,"ENSG00000169992",57555,"Q8NFZ4","","Schizophrenias; Childhood autism",2,0.844444444444444,"2011-2021"
"NTNG2",2,0.675,0.7,"ENSG00000196358",84628,"Q96CW9","Enzyme modulator","Bipolar Disorders; Schizophrenias",3,0,"2008-2010"
"PCNT",2,0.675,0.7,"ENSG00000160299",5116,"O95613","","Schizophrenias; Bipolar Disorders",4,0.928571428571429,"2008-2009"
"S100A10",2,0.675,0.75,"ENSG00000197747",6281,"P60903","Calcium-binding protein","Depression; Bipolar Disorders",4,0.944444444444444,"2009-2014"
"SCN8A",2,0.675,0.7,"ENSG00000196876",6334,"Q6B4S4; Q9UQD0","Ion channel","Childhood autism; Bipolar Disorders",3,1,"2008-2021"
"SLC17A7",2,0.675,0.75,"ENSG00000104888",57030,"Q9P2U7","Transporter","Schizophrenias; Bipolar Disorders",2,0.519230769230769,"2010-2012"
"SLC6A1",2,0.675,0.7,"ENSG00000157103",6529,"A0A2R8Y4I3; P30531; B7Z3C5","Transporter","Schizophrenias; Depression",3,0.875,"2007-2009"
"SST",2,0.675,0.75,"ENSG00000157005",6750,"P61278","Signaling","Schizophrenias; Bipolar Disorders",6,0.82051282051282,"2009-2014"
"STX1A",2,0.675,0.7,"ENSG00000106089",6804,"Q75ME0; Q16623","Transporter","Childhood autism; Schizophrenias",3,0.833333333333333,"2004-2021"
"WFS1",2,0.675,0.75,"ENSG00000109501",7466,"O76024; A0A0S2Z4V6","","Bipolar Disorders; Depression",7,0.85,"2001-2011"
"GABRB2",3,0.666666666666667,0.8,"ENSG00000145864",2561,"P47870","Ion channel","Schizophrenias; Bipolar Disorders; Childhood autism",2,0.986666666666667,"NA-NA"
"ACE",3,0.666666666666667,0.8,"ENSG00000159640",1636,"P12821; B4DKH4","Enzyme","Schizophrenias; Childhood autism; Bipolar Disorders",7,0.854166666666667,"2010-2016"
"BCL2",3,0.666666666666667,0.75,"ENSG00000171791",596,"A0A7I2V3S7; P10415","Signaling","Schizophrenias; Childhood autism; Bipolar Disorders",6,0.922077922077922,"2001-2015"
"DLG4",3,0.666666666666667,0.75,"ENSG00000132535",1742,"P78352; B7Z647; B9EGL1; B7Z4H2","Receptor","Schizophrenias; Depression; Bipolar Disorders",6,0.818181818181818,"2004-2010"
"EGR3",3,0.666666666666667,0.75,"ENSG00000179388",1960,"Q06889; B4DH80","Nucleic acid binding","Schizophrenias; Bipolar Disorders; Depression",5,0.966666666666667,"2009-2012"
"GRIK2",3,0.666666666666667,0.7,"ENSG00000164418",2898,"Q13002; A0A8D9PH75; A8K0H7; Q8IY40","Ion channel","Bipolar Disorders; Schizophrenias; Childhood autism",6,0.847222222222222,"2002-2010"
"IL1RN",3,0.666666666666667,0.9,"ENSG00000136689",3557,"P18510","","Depression; Bipolar Disorders; Childhood autism",3,0.897435897435897,"NA-NA"
"NLGN1",3,0.666666666666667,0.75,"ENSG00000169760",22871,"Q8N2Q7","","Childhood autism; Schizophrenias; Bipolar Disorders",4,1,"2009-2021"
"RORA",3,0.666666666666667,0.7,"ENSG00000069667",6095,"P35398; A0A0C4DG53; A0A0C4DFP5","Nuclear receptor","Bipolar Disorders; Childhood autism; Depression",9,0.932692307692308,"2010-2014"
"TAC1",3,0.666666666666667,0.75,"ENSG00000006128",6863,"Q9Y494; P20366","","Depression; Schizophrenias; Bipolar Disorders",7,0.869047619047619,"2005-2014"
"TNFRSF1B",3,0.666666666666667,0.75,"ENSG00000028137",7133,"P20333","","Depression; Schizophrenias; Childhood autism",5,0.944444444444444,"2005-2013"
"PDE4B",4,0.6625,0.8,"ENSG00000184588",5142,"X5DR82; Q68CX5; X5DNX5; Q07343; Q59GM8","","Schizophrenias; Bipolar Disorders; Depression; Childhood autism",12,0.992424242424242,"2005-2012"
"GLO1",5,0.66,0.75,"ENSG00000124767",2739,"X5DNM4; Q04760","","Anxiety Disorder; Childhood autism; Depression; Schizophrenias; Bipolar Disorders",7,0.91031746031746,"2004-2012"
"A2M",1,0.65,0.65,"ENSG00000175899",2,"P01023","Enzyme modulator","Depression",2,1,"1987-2000"
"AANAT",1,0.65,0.65,"ENSG00000129673",15,"F1T0I5; Q16613","","Depression",1,0.5,"2001-2001"
"ACE2",1,0.65,0.65,"ENSG00000130234",59272,"Q9BYF1","Enzyme","Anxiety Disorder",1,0.833333333333333,"2016-2016"
"ACTR2",1,0.65,0.65,"ENSG00000138071",10097,"P61160","Cellular structure","Schizophrenias",1,1,"2014-2014"
"ADAMTSL3",1,0.65,0.65,"ENSG00000156218",57188,"P82987","Enzyme","Schizophrenias",1,1,"2011-2011"
"ADARB1",2,0.65,0.65,"ENSG00000197381",104,"P78563; A0A994J4V7","Enzyme","Bipolar Disorders; Schizophrenias",3,0.75,"2012-2014"
"ADK",1,0.65,0.65,"ENSG00000156110",132,"P55263; A0A5F9ZH72; A0A140VJE0; A0A5F9ZHJ1","Kinase","Schizophrenias",1,0.666666666666667,"2012-2012"
"ADRB1",1,0.65,0.65,"ENSG00000043591",153,"P08588","G-protein coupled receptor","Depression",2,1,"2008-2014"
"AKAP11",2,0.65,0.65,"ENSG00000023516",11215,"Q9UKA4","","Bipolar Disorders; Schizophrenias",2,1,"2022-2022"
"ALDH1A1",1,0.65,0.65,"ENSG00000165092",216,"P00352; V9HW83","Enzyme","Schizophrenias",1,0.666666666666667,"2003-2003"
"ALDH1A2",1,0.65,0.65,"ENSG00000128918",8854,"O94788","Enzyme","Schizophrenias",1,1,"2009-2009"
"ALK",2,0.65,0.65,"ENSG00000171094",238,"Q9UM73; B6D4Y2","Kinase","Schizophrenias; Depression",2,1,"2006-2008"
"AMACR",1,0.65,0.65,"ENSG00000242110",23600,"Q9UHK6","","Schizophrenias",1,1,"2010-2010"
"ANKK1",3,0.65,0.75,"ENSG00000170209",255239,"Q8NFD2","Kinase","Schizophrenias; Bipolar Disorders; Depression",7,1,"2010-2014"
"APOA4",1,0.65,0.65,"ENSG00000110244",337,"P06727","","Schizophrenias",1,1,"2015-2015"
"APRT",1,0.65,0.65,"ENSG00000198931",353,"P07741","","Depression",5,1,"1985-2013"
"AQP4",3,0.65,0.65,"ENSG00000171885",361,"P55087; A0A5F9ZHR4; V9PBN7; F1DSG4","Ion channel","Schizophrenias; Childhood autism; Depression",4,0.910714285714286,"2008-2014"
"ARHGAP1",1,0.65,0.65,"ENSG00000175220",392,"Q07960","","Schizophrenias",1,1,"2012-2012"
"ARVCF",1,0.65,0.65,"ENSG00000099889",421,"O00192","Cellular structure","Schizophrenias",4,1,"2005-2012"
"ATF3",1,0.65,0.65,"ENSG00000162772",467,"P18847","Transcription factor","Depression",1,1,"2008-2008"
"ATP10A",1,0.65,0.65,"ENSG00000206190",57194,"O60312","Transporter","Childhood autism",1,0.8,"2003-2003"
"ATXN1",1,0.65,0.65,"ENSG00000124788",6310,"Q96FF1; P54253","","Schizophrenias",0,0.833333333333333,"NA-NA"
"ATXN3",1,0.65,0.65,"ENSG00000066427",4287,"A0A0A0MS38; P54252; C9JQV6","Enzyme","Depression",5,1,"1993-2014"
"BICC1",1,0.65,0.65,"ENSG00000122870",80114,"Q9H694","Transporter","Depression",2,1,"2010-2012"
"BLOC1S1",1,0.65,0.65,"ENSG00000135441",2647,"P78537","Transcription factor","Schizophrenias",1,1,"2015-2015"
"CACNA1B",2,0.65,0.65,"ENSG00000148408",774,"Q00975","Ion channel","Schizophrenias; Bipolar Disorders",3,1,"2010-2011"
"CACNA1D",1,0.65,0.65,"ENSG00000157388",776,"Q01668; A0A1B0GUN6; Q59GD8","Ion channel","Bipolar Disorders",1,1,"2017-2017"
"CACNB2",2,0.65,0.65,"ENSG00000165995",783,"Q59H42; Q5VVH1; A0A494C184; Q08289","Ion channel","Bipolar Disorders; Schizophrenias",2,1,"2014-2014"
"CALB1",1,0.65,0.65,"ENSG00000104327",793,"P05937","Calcium-binding protein","Schizophrenias",2,0.5,"2008-2014"
"CAMK2B",1,0.65,0.65,"ENSG00000058404",816,"Q13554; B7Z1Z6; A4D2J9","Kinase","Schizophrenias",2,1,"2000-2010"
"CAT",1,0.65,0.65,"ENSG00000121691",847,"A0A384P5Q0; P04040","Enzyme","Childhood autism",1,1,"2004-2004"
"CAV1",1,0.65,0.65,"ENSG00000105974",857,"Q03135; Q2TNI1; Q7Z4F3; Q59E85; A9XTE5","Enzyme modulator","Schizophrenias",1,0.714285714285714,"2011-2011"
"CCDC68",1,0.65,0.65,"ENSG00000166510",80323,"Q9H2F9","","Schizophrenias",1,1,"2013-2013"
"CDC42",1,0.65,0.65,"ENSG00000070831",998,"P60953","Enzyme modulator","Schizophrenias",4,1,"2006-2013"
"CDH10",1,0.65,0.65,"ENSG00000040731",1008,"Q9Y6N8; X5DNG6; X5D8X5","","Childhood autism",1,1,"2009-2009"
"CDH13",1,0.65,0.65,"ENSG00000140945",1012,"B7Z3H7; P55290; B7Z9B1","","Depression",1,1,"2012-2012"
"CDH7",1,0.65,0.65,"ENSG00000081138",1005,"F5H5X9; Q9ULB5; Q8IY78","","Bipolar Disorders",1,1,"2014-2014"
"CDH9",1,0.65,0.65,"ENSG00000113100",1007,"Q9ULB4","","Childhood autism",1,0.833333333333333,"2009-2009"
"CDK16",1,0.65,0.65,"ENSG00000102225",5127,"Q9BRL4; A0A140VK97; Q00536","Kinase","Schizophrenias",2,1,"2007-2011"
"CDK5",1,0.65,0.65,"ENSG00000164885",1020,"Q00535; A0A0S2Z355; A0A090N7W4","Kinase","Schizophrenias",1,1,"2011-2011"
"CDKN2A",1,0.65,0.65,"ENSG00000147889",1029,"P42771; K7PML8; Q8N726","","Depression",3,1,"2002-2013"
"CHRNA2",2,0.65,0.65,"ENSG00000120903",1135,"Q15822","Ion channel","Depression; Bipolar Disorders",3,1,"2005-2009"
"CHRNA6",2,0.65,0.65,"ENSG00000147434",8973,"Q15825","Ion channel","Bipolar Disorders; Depression",3,0.833333333333333,"2009-2011"
"CMKLR1",1,0.65,0.65,"ENSG00000174600",1240,"Q99788","G-protein coupled receptor","Depression",1,1,"2012-2012"
"CMYA5",1,0.65,0.65,"ENSG00000164309",202333,"Q8N3K9","","Schizophrenias",3,0.857142857142857,"2011-2014"
"CSF2RA",1,0.65,0.65,"ENSG00000198223; ENSG00000292357",1438,"P15509","Signaling","Schizophrenias",2,1,"2007-2010"
"CSMD3",1,0.65,0.65,"ENSG00000164796",114788,"Q7Z407","","Childhood autism",1,1,"2008-2008"
"CSPG5",1,0.65,0.65,"ENSG00000114646",10675,"A0A087WUT8; O95196; B7Z2E0","","Schizophrenias",2,1,"2010-2013"
"CTCF",1,0.65,0.65,"ENSG00000102974",10664,"A0A2R8YFL0; P49711","Transcription factor","Schizophrenias",1,1,"2014-2014"
"CTSK",1,0.65,0.65,"ENSG00000143387",1513,"P43235","Enzyme","Schizophrenias",2,0.666666666666667,"2006-2009"
"CYP19A1",1,0.65,0.65,"ENSG00000137869",1588,"Q8TCA4; P11511; Q8IYG4; A8K6W3; Q05CU4","Enzyme","Childhood autism",1,1,"2011-2011"
"DAB1",1,0.65,0.65,"ENSG00000173406",1600,"O75553","Signaling","Childhood autism",1,1,"2005-2005"
"DCC",1,0.65,0.65,"ENSG00000187323",1630,"Q49AK4; P43146","","Schizophrenias",1,1,"2012-2012"
"DDO",1,0.65,0.65,"ENSG00000203797",8528,"Q99489","","Schizophrenias",1,0.666666666666667,"2015-2015"
"DDR1",1,0.65,0.65,"ENSG00000204580",780,"A0A0A0MSX3; Q96T61; A0A024RCQ1; Q08345; Q96T62","Kinase","Schizophrenias",1,1,"2007-2007"
"DEAF1",2,0.65,0.65,"ENSG00000177030",10522,"O75398","","Depression; Childhood autism",4,0.833333333333333,"NA-NA"
"DLGAP2",2,0.65,0.65,"ENSG00000198010",9228,"A0A1B0GTN4","Receptor","Childhood autism; Schizophrenias",2,0.916666666666667,"2010-2014"
"DNAH8",1,0.65,0.65,"ENSG00000124721",1769,"Q8IU65; Q96JB1; A0A075B6F3","Enzyme","Bipolar Disorders",4,1,"2009-2014"
"DPYSL2",2,0.65,0.65,"ENSG00000092964",1808,"Q59GB4; A0A1C7CYX9; Q16555","Enzyme","Depression; Bipolar Disorders",4,0.833333333333333,"2003-2009"
"DUSP4",1,0.65,0.65,"ENSG00000120875",1846,"Q13115","","Depression",2,1,"2001-2005"
"EIF2S1",1,0.65,0.65,"ENSG00000134001",1965,"P05198; Q53XC0","Nucleic acid binding","Schizophrenias",1,1,"2009-2009"
"EPHX2",1,0.65,0.65,"ENSG00000120915",2053,"P34913","Enzyme","Schizophrenias",1,1,"2019-2019"
"FBXL21P",1,0.65,0.65,"",26223,"","","Schizophrenias",1,1,"2008-2008"
"FOXP3",1,0.65,0.65,"ENSG00000049768",50943,"Q9BZS1","","Bipolar Disorders",1,1,"2011-2011"
"FUT8",1,0.65,0.65,"ENSG00000033170",2530,"A8K8P8; Q9BYC5; Q546E0","","Schizophrenias",2,1,"2011-2015"
"GABRA2",2,0.65,0.65,"ENSG00000151834",2555,"P47869; E9PBQ7","Ion channel","Anxiety Disorder; Childhood autism",2,1,"2008-2009"
"GABRB1",3,0.65,0.7,"ENSG00000163288",2560,"X5DNL6; P18505","Ion channel","Childhood autism; Schizophrenias; Bipolar Disorders",6,1,"2005-2014"
"GABRB3",4,0.65,0.75,"ENSG00000166206",2562,"X5DQY4; P28472; B2RCW8","Ion channel","Childhood autism; Schizophrenias; Depression; Bipolar Disorders",11,0.973214285714286,"1998-2014"
"GABRG2",1,0.65,0.65,"ENSG00000113327",2566,"P18507","Ion channel","Schizophrenias",2,0.857142857142857,"2009-2014"
"GRB2",1,0.65,0.65,"ENSG00000177885",2885,"P62993; B0LPF3","","Schizophrenias",1,1,"2011-2011"
"GRK6",1,0.65,0.65,"ENSG00000198055",2870,"B3KPS5; P43250","Kinase","Schizophrenias",1,0.333333333333333,"2006-2006"
"GRN",3,0.65,0.65,"ENSG00000030582",2896,"P28799","","Depression; Schizophrenias; Bipolar Disorders",7,0.85,"2010-2014"
"GRPR",1,0.65,0.65,"ENSG00000126010",2925,"P30550; X5D7H2","G-protein coupled receptor","Depression",1,1,"2011-2011"
"GYPE",1,0.65,0.65,"ENSG00000197465",2996,"P15421","","Depression",2,1,"1988-2011"
"HCAR2",1,0.65,0.65,"ENSG00000182782",338442,"Q8TDS4; A0A4Y1JWQ0","G-protein coupled receptor","Schizophrenias",1,1,"2008-2008"
"HDAC1",1,0.65,0.65,"ENSG00000116478",3065,"Q6IT96; Q13547","Epigenetic regulator","Schizophrenias",2,0.714285714285714,"2008-2013"
"HDAC6",1,0.65,0.65,"ENSG00000094631",10013,"B4DZH6; Q9UBN7; Q9BRX7; Q9NSW6","Epigenetic regulator","Depression",1,0.666666666666667,"2012-2012"
"HDAC9",2,0.65,0.65,"ENSG00000048052",9734,"B7Z3P7; A0A9L9PXL9; Q9UKV0; A0A7P0TAB5; A0A7P0T8F4","Epigenetic regulator","Depression; Schizophrenias",4,0.928571428571429,"2009-2014"
"HINT1",2,0.65,0.75,"ENSG00000169567",3094,"P49773; A0A384NPU2","Enzyme","Schizophrenias; Bipolar Disorders",3,1,"2007-2011"
"HLA-B",1,0.65,0.65,"ENSG00000234745",3106,"P01889; E5FQ95","","Schizophrenias",2,1,"2006-2011"
"HLA-DQB1",1,0.65,0.65,"ENSG00000179344",3119,"P01920; Q5Y7A9; Q5Y7D6; Q5Y7D3; Q5SU54","Immune response","Schizophrenias",1,0.888888888888889,"2001-2001"
"HMOX1",1,0.65,0.65,"ENSG00000100292",3162,"Q6FH11; P09601","","Schizophrenias",1,1,"2012-2012"
"HOXB8",1,0.65,0.65,"ENSG00000120068",3218,"P17481; Q8N8T3","","Disorders, Obsessive-Compulsive",1,1,"2002-2002"
"HRH1",1,0.65,0.65,"ENSG00000196639",3269,"P35367","G-protein coupled receptor","Schizophrenias",1,0.75,"1991-1991"
"HSD11B1",1,0.65,0.65,"ENSG00000117594",3290,"P28845; X5D2L1","","Depression",1,1,"2012-2012"
"HSPD1",1,0.65,0.65,"ENSG00000144381",3329,"A0A024R3X4; P10809","","Childhood autism",0,1,"NA-NA"
"HTR4",3,0.65,0.75,"ENSG00000164270",3360,"Q13639; A0A2D3FAF9","G-protein coupled receptor","Depression; Schizophrenias; Bipolar Disorders",6,0.863247863247863,"2002-2014"
"HTT",1,0.65,0.65,"ENSG00000197386",3064,"P42858","","Depression",4,1,"2004-2015"
"IDO1",1,0.65,0.65,"ENSG00000131203",3620,"P14902; A0A348GSI3","","Depression",4,1,"2011-2013"
"IL2RA",1,0.65,0.65,"ENSG00000134460",3559,"H0Y5Z0; Q5W005; P01589","Receptor","Schizophrenias",1,0.833333333333333,"1994-1994"
"IMPA1",1,0.65,0.65,"ENSG00000133731",3612,"P29218; A0A140VJL8","Enzyme","Bipolar Disorders",2,0.8,"1997-2010"
"ITPR1",1,0.65,0.65,"ENSG00000150995",3708,"B4DGH1; B4DER3; Q59H91; Q14643","Ion channel","Bipolar Disorders",2,1,"1994-2006"
"JAKMIP1",1,0.65,0.65,"ENSG00000152969",152789,"B3KWB6; Q96N16","","Childhood autism",1,1,"2007-2007"
"JMJD1C",1,0.65,0.65,"ENSG00000171988",221037,"B7ZLC8; Q15652","","Childhood autism",1,1,"2007-2007"
"KATNAL2",1,0.65,0.65,"ENSG00000167216",83473,"K7EIJ8; Q8IYT4","Cellular structure","Childhood autism",1,1,"2021-2021"
"KCNJ6",1,0.65,0.65,"ENSG00000157542",3763,"P48051","Ion channel","Depression",2,1,"2011-2012"
"KCNMA1",1,0.65,0.65,"ENSG00000156113",3778,"A0A1W2PR56; A0A087WZL8; A0A1W2PQU4; S4R453; A0A1W2PPY5; Q59FH2; A0A1W2PRN5; Q12791; B7ZMF5; A0A1W2PQK5; A0A1W2PP94; A0A1W2PR62; Q5SVJ7; D5MRH1","Ion channel","Childhood autism",1,1,"2006-2006"
"KCNS3",1,0.65,0.65,"ENSG00000170745",3790,"Q9BQ31","Ion channel","Schizophrenias",1,1,"2014-2014"
"KDM5C",1,0.65,0.65,"ENSG00000126012",8242,"P41229; A0A6M4C8G8","","Childhood autism",1,1,"2008-2008"
"KIF17",1,0.65,0.65,"ENSG00000117245",57576,"A0A0A0MRS8; Q9P2E2","Cellular structure","Schizophrenias",2,1,"2010-2015"
"KMT2C",1,0.65,0.65,"ENSG00000055609",58508,"Q8NEZ4","","Childhood autism",1,1,"2021-2021"
"KPNA1",1,0.65,0.65,"ENSG00000114030",3836,"P52294","Transporter","Schizophrenias",1,1,"2011-2011"
"L1CAM",1,0.65,0.65,"ENSG00000198910",3897,"P32004","","Schizophrenias",0,1,"NA-NA"
"LCN2",1,0.65,0.65,"ENSG00000148346",3934,"P80188","Enzyme","Schizophrenias",1,1,"2012-2012"
"LINC02694",1,0.65,0.65,"ENSG00000175779",400359,"","","Bipolar Disorders",1,0.875,"2009-2009"
"LPAR1",1,0.65,0.65,"ENSG00000198121",1902,"Q5VZX0; Q92633","G-protein coupled receptor","Schizophrenias",1,1,"2005-2005"
"LRP1",1,0.65,0.65,"ENSG00000123384",4035,"Q07954; Q59FG2","","Schizophrenias",1,1,"2011-2011"
"LRP2",1,0.65,0.65,"ENSG00000081479",4036,"Q7Z5C1; Q7Z5C0; P98164","","Schizophrenias",1,1,"2015-2015"
"LSAMP",1,0.65,0.65,"ENSG00000185565",4045,"Q13449; B7Z661","","Schizophrenias",1,1,"2014-2014"
"LYRM4",1,0.65,0.65,"ENSG00000214113",57128,"C9JY28; Q9HD34; F5H189; C9JRX8","","Schizophrenias",1,0.5,"2012-2012"
"MAD1L1",1,0.65,0.65,"ENSG00000002822",8379,"Q9Y6D9","","Schizophrenias",1,1,"2014-2014"
"MAP1B",1,0.65,0.65,"ENSG00000131711",4131,"P46821; A2BDK6; Q6PJD3; Q86X89","Cellular structure","Attention Deficit Disorder with Hyperactivity",0,1,"NA-NA"
"MAPK8",2,0.65,0.65,"ENSG00000107643",5599,"A1L4K2; P45983","Kinase","Schizophrenias; Depression",3,1,"2001-2014"
"MARK1",1,0.65,0.65,"ENSG00000116141",4139,"Q9P0L2; X5D2M4; A0A087X0I6; B4DIB3","Kinase","Childhood autism",1,1,"2008-2008"
"MDH1",1,0.65,0.65,"ENSG00000014641",4190,"P40925; A0A5K1VW95; V9HWF2","Enzyme","Schizophrenias",1,1,"2004-2004"
"MIR185",1,0.65,0.65,"ENSG00000208023",406961,"","","Schizophrenias",1,0.666666666666667,"2014-2014"
"MIR346",1,0.65,0.65,"ENSG00000199104",442911,"","","Schizophrenias",3,0.833333333333333,"2009-2015"
"MIR34A",1,0.65,0.65,"ENSG00000284357",407040,"","","Anxiety Disorder",1,1,"2016-2016"
"MMP3",1,0.65,0.65,"ENSG00000149968",4314,"P08254","Enzyme","Schizophrenias",1,0.666666666666667,"2009-2009"
"MOG",1,0.65,0.65,"ENSG00000204655",4340,"Q16653; Q5SSB8","Enzyme modulator","Schizophrenias",1,1,"2005-2005"
"MSRA",1,0.65,0.65,"ENSG00000175806",4482,"Q9UJ68","Enzyme","Schizophrenias",2,1,"2009-2011"
"MYO16",1,0.65,0.65,"ENSG00000041515",23026,"F8W883; Q9Y6X6","","Schizophrenias",1,1,"2014-2014"
"MYT1L",1,0.65,0.65,"ENSG00000186487",23040,"A0A3B3IS61; A0A3B3IRM3; A0A3B3IS14; A0A3B3IRX5; A0A2R8YF72; Q9UL68; A0A3B3ISW5","Transcription factor","Schizophrenias",3,0.888888888888889,"2011-2012"
