"gene_symbol","geneid","ensemblid","geneNcbiType","uniprotids","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","score","yearInitial","yearFinal","numPMIDs","evidence_index"
"P2RX7",5027,"ENSG00000089041","protein-coding","Q99572","Ion channel","Depression","disease","C0011570",0.75,2009,2013,4,0.891891891891892
"HTR3A",3359,"ENSG00000166736","protein-coding","P46098; B4E398","Ion channel","Depression","disease","C0011570",0.75,2009,2012,5,1
"ARC",23237,"ENSG00000198576","protein-coding","Q7LC44","","Schizophrenias","disease","C0036341",0.75,2012,2012,1,0.875
"IL12B",3593,"ENSG00000113302","protein-coding","P29460","Signaling","Schizophrenias","disease","C0036341",0.75,2008,2008,1,1
"CTNND2",1501,"ENSG00000169862","protein-coding","B4DRK2; E7EPC8; B4DJU1; Q9UQB3","Cellular structure","Schizophrenias","disease","C0036341",0.75,2011,2018,3,0.666666666666667
"DLG1",1739,"ENSG00000075711","protein-coding","A0A0C4DFT3; B4DF78; A0A590UJ08; Q12959","Receptor","Schizophrenias","disease","C0036341",0.75,2002,2010,3,1
"ENO2",2026,"ENSG00000111674","protein-coding","Q6FHV6; P09104","Enzyme","Schizophrenias","disease","C0036341",0.75,2008,2008,1,1
"TLR4",7099,"ENSG00000136869","protein-coding","O00206","","Schizophrenias","disease","C0036341",0.75,2013,2013,1,1
"UFD1",7353,"ENSG00000070010","protein-coding","Q92890; Q541A5","","Schizophrenias","disease","C0036341",0.75,2008,2013,2,1
"PTPN5",84867,"ENSG00000110786","protein-coding","P54829; B7Z2F8; Q86TL3","","Schizophrenias","disease","C0036341",0.75,2012,2012,2,1
"OPCML",4978,"ENSG00000183715","protein-coding","B2CZX3; B7ZLQ0; A8K0Y0; Q14982","","Schizophrenias","disease","C0036341",0.75,2012,2012,1,0.857142857142857
"PAK1",5058,"ENSG00000149269","protein-coding","Q13153","Kinase","Schizophrenias","disease","C0036341",0.75,NA,NA,0,1
"DGCR2",9993,"ENSG00000070413","protein-coding","Q8IWC8; P98153; Q5CZ70; B7Z3T5","","Schizophrenias","disease","C0036341",0.75,2011,2011,1,0.9
"HTR4",3360,"ENSG00000164270","protein-coding","Q13639; A0A2D3FAF9","G-protein coupled receptor","Depression","disease","C0011570",0.75,2009,2014,4,0.923076923076923
"NTS",4922,"ENSG00000133636","protein-coding","P30990; Q6FH20","","Depression","disease","C0011570",0.75,2012,2012,1,0.5
"ITGB3",3690,"ENSG00000259207","protein-coding","P05106","Receptor","Childhood autism","disease","C0004352",0.75,2006,2007,3,0.857142857142857
"HTR2A",3356,"ENSG00000102468","protein-coding","P28223","G-protein coupled receptor","Childhood autism","disease","C0004352",0.75,2007,2007,1,0.888888888888889
"NPS",594857,"ENSG00000214285","protein-coding","P0C0P6","","Anxiety Disorder","disease","C0003469",0.75,2009,2011,2,0.944444444444444
"MAPK3",5595,"ENSG00000102882","protein-coding","Q9BWJ1; L7RXH5; P27361","Kinase","Depression","disease","C0011570",0.75,2005,2011,5,0.947368421052632
"TPH2",121278,"ENSG00000139287","protein-coding","Q8IWU9","","Schizophrenias","disease","C0036341",0.75,2014,2014,1,0.736842105263158
"TH",7054,"ENSG00000180176","protein-coding","P78428; P07101","","Bipolar Disorders","disease","C0005586",0.75,1999,2002,3,0.733333333333333
"CDKL5",6792,"ENSG00000008086","protein-coding","O76039","Kinase","Childhood autism","disease","C0004352",0.75,2004,2021,3,0.96
"PDLIM5",10611,"ENSG00000163110","protein-coding","B7Z8X5; Q96HC4; B7Z481","Cellular structure","Schizophrenias","disease","C0036341",0.75,2006,2013,3,0.923076923076923
"MAPT",4137,"ENSG00000186868","protein-coding","B3KTM0; P10636","","Anxiety Disorder","disease","C0003469",0.75,2018,2018,1,0.884615384615385
"SLC6A8",6535,"ENSG00000130821","protein-coding","X5D9C4; Q59EV7; P48029","Transporter","Childhood autism","disease","C0004352",0.75,2007,2007,1,0.928571428571429
"APP",351,"ENSG00000142192","protein-coding","A0A0A0MRG2; E9PG40; P05067; B4DGD0; B4DJT9; A0A140VJC8","Enzyme modulator","Anxiety Disorder","disease","C0003469",0.75,2010,2010,1,0.8
"BCL2",596,"ENSG00000171791","protein-coding","A0A7I2V3S7; P10415","Signaling","Schizophrenias","disease","C0036341",0.75,2015,2015,1,0.909090909090909
"CLOCK",9575,"ENSG00000134852","protein-coding","Q53EU0; O15516; Q3ZCT4","","Depression","disease","C0011570",0.75,2012,2014,5,0.962962962962963
"PTCHD1",139411,"ENSG00000165186","protein-coding","Q96NR3; X5DNX9","Receptor","Childhood autism","disease","C0004352",0.75,2011,2011,1,1
"ARX",170302,"ENSG00000004848","protein-coding","Q96QS3","","Childhood autism","disease","C0004352",0.75,2021,2021,1,1
"AUTS2",26053,"ENSG00000158321","protein-coding","Q8WXX7","","Childhood autism","disease","C0004352",0.75,2021,2021,1,0.92
"GRIN1",2902,"ENSG00000176884","protein-coding","Q5VSF9; Q05586; Q59GW0","Ion channel","Childhood autism","disease","C0004352",0.75,2021,2021,1,1
"PIK3CG",5294,"ENSG00000105851","protein-coding","P48736; A8K9G9","Kinase","Childhood autism","disease","C0004352",0.75,2003,2003,1,0.9
"NLGN4X",57502,"ENSG00000146938","protein-coding","A8K4S1; Q8N0W4; B3KP11","","Childhood autism","disease","C0004352",0.75,NA,NA,0,0.885714285714286
"BRD1",23774,"ENSG00000100425","protein-coding","Q59G93; O95696","","Bipolar Disorders","disease","C0005586",0.75,2006,2012,4,1
"CACNA1C",775,"ENSG00000151067","protein-coding","E9PDI6; F5H522; A0A804HJB6; Q5V9X9; A0A804HI37; A0A804HKC4; A0A0A0MR67; Q13936; A0A0A0MSA1; A0A804HIJ8; Q59GU3","Ion channel","Depression","disease","C0011570",0.75,2010,2014,4,0.933333333333333
"SLC1A2",6506,"ENSG00000110436","protein-coding","A0A2U3TZS7; A0A2R8YFE3; P43004; A0A2R8Y860; A2A2U1","Transporter","Schizophrenias","disease","C0036341",0.75,2012,2014,4,0.896551724137931
"SST",6750,"ENSG00000157005","protein-coding","P61278","Signaling","Schizophrenias","disease","C0036341",0.75,2009,2014,5,0.807692307692308
"SYN3",8224,"ENSG00000185666","protein-coding","Q17R54; Q59EX7; O14994","Cellular structure","Schizophrenias","disease","C0036341",0.75,2006,2007,2,0.416666666666667
"IL18R1",8809,"ENSG00000115604","protein-coding","Q13478","Receptor","Schizophrenias","disease","C0036341",0.75,2007,2007,1,1
"MAG",4099,"ENSG00000105695","protein-coding","Q53ES7; P20916","Receptor","Schizophrenias","disease","C0036341",0.75,2005,2007,2,0.666666666666667
"SDF4",51150,"ENSG00000078808","protein-coding","Q9BRK5","Calcium-binding protein","Schizophrenias","disease","C0036341",0.75,2011,2011,1,1
"DGCR8",54487,"ENSG00000128191","protein-coding","Q8WYQ5","","Schizophrenias","disease","C0036341",0.75,2013,2014,3,1
"NDE1",54820,"ENSG00000072864","protein-coding","Q9NXR1; X5DP35; X5DR54","","Schizophrenias","disease","C0036341",0.75,2007,2010,4,0.818181818181818
"TAC1",6863,"ENSG00000006128","protein-coding","Q9Y494; P20366","","Depression","disease","C0011570",0.75,2005,2014,5,1
"AKT1",207,"ENSG00000142208","protein-coding","B0LPE5; B3KVH4; P31749","Kinase","Depression","disease","C0011570",0.75,2012,2014,5,1
"GSTT1",2952,"","protein-coding","A0A0G2JRN4; Q4W251; Q4GZS9; P30711; A0A0G2JRQ5","","Schizophrenias","disease","C0036341",0.75,2009,2014,5,0.769230769230769
"HLA-DRB1",3123,"ENSG00000196126","protein-coding","Q5Y7D1; A0A224MM52; X5DNQ0; D7RIH8; P01911","Immune response","Schizophrenias","disease","C0036341",0.75,2005,2005,1,1
"OLIG2",10215,"ENSG00000205927","protein-coding","Q13516","Enzyme","Schizophrenias","disease","C0036341",0.75,2008,2009,3,0.857142857142857
"CNP",1267,"ENSG00000173786","protein-coding","P09543","Enzyme","Schizophrenias","disease","C0036341",0.75,2008,2014,2,0.875
"ADORA2A",135,"ENSG00000128271","protein-coding","A8K1F6; P29274; X5DNB4; B3KVQ4","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.75,2010,2014,3,0.75
"AVP",551,"ENSG00000101200","protein-coding","P01185; X5DQP6","Signaling","Childhood autism","disease","C0004352",0.75,1995,1995,1,1
"TNFRSF1A",7132,"ENSG00000067182","protein-coding","J9PH39; P19438","","Depression","disease","C0011570",0.75,2006,2013,4,1
"NOS2",4843,"ENSG00000007171","protein-coding","P35228","","Depression","disease","C0011570",0.75,2009,2013,5,0.733333333333333
"CCK",885,"ENSG00000187094","protein-coding","Q6FG82; P06307","","Schizophrenias","disease","C0036341",0.75,2001,2008,2,0.833333333333333
"CHRM1",1128,"ENSG00000168539","protein-coding","Q53XZ3; P11229","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.75,2009,2013,2,0.75
"ESR1",2099,"ENSG00000091831","protein-coding","Q9UBT1; A8KAF4; P03372; A0A125SXW3; G4XH65; H0Y4W6","Nuclear receptor","Depression","disease","C0011570",0.75,2012,2013,4,0.777777777777778
"DRD3",1814,"ENSG00000151577","protein-coding","X5D2G4; E9PCM4; A1A4V4; P35462; A8K8E4","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.75,2006,2013,5,0.833333333333333
"MECP2",4204,"ENSG00000169057","protein-coding","Q59FJ6; A0A140VKC4; P51608; D3YJ43","Epigenetic regulator","Anxiety Disorder","disease","C0003469",0.75,2012,2012,1,0.875
"SLC1A1",6505,"ENSG00000106688","protein-coding","P43005","Transporter","Schizophrenias","disease","C0036341",0.75,NA,NA,0,0.75
"HTR1B",3351,"ENSG00000135312","protein-coding","A8K215; P28222; X5D7I5","G-protein coupled receptor","Depression","disease","C0011570",0.75,2012,2013,5,1
"SYP",6855,"ENSG00000102003","protein-coding","P08247","Transporter","Schizophrenias","disease","C0036341",0.75,2001,2001,1,0.766666666666667
"TPH2",121278,"ENSG00000139287","protein-coding","Q8IWU9","","Childhood autism","disease","C0004352",0.75,2005,2005,1,0.666666666666667
"TRH",7200,"ENSG00000170893","protein-coding","P20396","","Depression","disease","C0011570",0.75,1989,2014,5,0.714285714285714
"ANKK1",255239,"ENSG00000170209","protein-coding","Q8NFD2","Kinase","Schizophrenias","disease","C0036341",0.75,2010,2014,2,1
"KCNH2",3757,"ENSG00000055118","protein-coding","A0A090N7W1; Q12809; A0A090N8Q0; Q15BH2; A0A090N7X5","Ion channel","Schizophrenias","disease","C0036341",0.75,2009,2013,4,1
"CRHR2",1395,"ENSG00000106113","protein-coding","A0A090N7T4; Q13324","G-protein coupled receptor","Anxiety Disorder","disease","C0003469",0.75,2000,2000,1,0.928571428571429
"HINT1",3094,"ENSG00000169567","protein-coding","P49773; A0A384NPU2","Enzyme","Schizophrenias","disease","C0036341",0.75,2007,2011,2,1
"COMT",1312,"ENSG00000093010","protein-coding","A0A140VJG8; P21964","Enzyme","Childhood autism","disease","C0004352",0.75,2006,2006,1,0.666666666666667
"HPGDS",27306,"ENSG00000163106","protein-coding","O60760; A0A384P5J0","","Schizophrenias","disease","C0036341",0.75,2010,2014,4,0.857142857142857
"PDE4A",5141,"ENSG00000065989","protein-coding","P27815","","Depression","disease","C0011570",0.75,2007,2012,5,1
"GABRA4",2557,"ENSG00000109158","protein-coding","X5D7F5; P48169","Ion channel","Childhood autism","disease","C0004352",0.75,2005,2006,2,1
"ADCYAP1",116,"ENSG00000141433","protein-coding","P18509; B7Z222","Signaling","Depression","disease","C0011570",0.75,2010,2014,4,1
"DUSP1",1843,"ENSG00000120129","protein-coding","P28562; B4DU40","","Depression","disease","C0011570",0.75,2005,2013,3,0.8
"HOMER1",9456,"ENSG00000152413","protein-coding","Q5U5K4; Q86YM7","","Depression","disease","C0011570",0.75,2010,2012,3,0.923076923076923
"WNT2",7472,"ENSG00000105989","protein-coding","A0A384MDX3; P09544","Signaling","Childhood autism","disease","C0004352",0.75,2001,2010,2,0.7
"GRIN1",2902,"ENSG00000176884","protein-coding","Q5VSF9; Q05586; Q59GW0","Ion channel","Bipolar Disorders","disease","C0005586",0.75,2003,2003,1,0.833333333333333
"GRM5",2915,"ENSG00000168959","protein-coding","P41594; A8K5P7","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.75,2013,2013,1,1
"ATP1A3",478,"ENSG00000105409","protein-coding","P13637; Q53ES0","Transporter","Bipolar Disorders","disease","C0005586",0.75,1998,1998,1,0.5
"NTRK2",4915,"ENSG00000148053","protein-coding","Q16620; Q5VWE5; A0A8I5KR47; Q548C2","Kinase","Bipolar Disorders","disease","C0005586",0.75,2008,2013,3,1
"RGS4",5999,"ENSG00000117152","protein-coding","P49798","Enzyme modulator","Bipolar Disorders","disease","C0005586",0.75,2007,2010,4,0.727272727272727
"SLC18A1",6570,"ENSG00000036565","protein-coding","P54219; Q96GL6","Transporter","Bipolar Disorders","disease","C0005586",0.75,2006,2010,4,1
"SP4",6671,"ENSG00000105866","protein-coding","Q02446; Q32M51; A0A3B3IRW4","Nucleic acid binding","Bipolar Disorders","disease","C0005586",0.75,2009,2011,2,1
"GRK3",157,"ENSG00000100077","protein-coding","P35626; Q8N433","Kinase","Bipolar Disorders","disease","C0005586",0.75,2003,2010,6,1
"FKBP5",2289,"ENSG00000096060","protein-coding","Q2TA84; Q13451","Enzyme","Bipolar Disorders","disease","C0005586",0.75,2009,2014,4,0.727272727272727
"CYFIP1",23191,"ENSG00000273749","protein-coding","Q7L576","Enzyme modulator","Childhood autism","disease","C0004352",0.75,2021,2021,1,0.944444444444444
"GRM8",2918,"ENSG00000179603","protein-coding","O00222","G-protein coupled receptor","Childhood autism","disease","C0004352",0.75,2003,2003,1,0.666666666666667
"ST8SIA2",8128,"ENSG00000140557","protein-coding","Q92186; B2R9U8; Q4VAY9; C6G488","","Schizophrenias","disease","C0036341",0.75,2007,2015,4,1
"SYNGAP1",8831,"ENSG00000197283","protein-coding","A0A1U9X8L0; B7ZCA0; Q96PV0","Enzyme modulator","Schizophrenias","disease","C0036341",0.75,2009,2009,1,0.857142857142857
"ARHGAP18",93663,"ENSG00000146376","protein-coding","Q8N392","Enzyme modulator","Schizophrenias","disease","C0036341",0.75,2009,2009,1,1
"BCL11A",53335,"ENSG00000119866","protein-coding","Q9H165; D9YZV9; D9YZW0","Transcription factor","Schizophrenias","disease","C0036341",0.75,2015,2015,1,1
"PLXNA2",5362,"ENSG00000076356","protein-coding","O75051","","Schizophrenias","disease","C0036341",0.75,2008,2008,1,0.909090909090909
"SULT4A1",25830,"ENSG00000130540","protein-coding","Q9BR01; B7Z2E1","","Schizophrenias","disease","C0036341",0.75,2005,2008,3,0.9
"GRIK4",2900,"ENSG00000149403","protein-coding","A6H8K8; Q16099; B2RAP6; A0A8D9UJ88; A0A8D9PH79","Ion channel","Schizophrenias","disease","C0036341",0.75,2007,2013,2,0.769230769230769
"GRM4",2914,"ENSG00000124493","protein-coding","A8K0J8; A1L4F9; Q14833; B7ZLU9","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.75,2013,2013,1,0.818181818181818
"HSPA1B",3304,"ENSG00000204388","protein-coding","A8K5I0; P0DMV9; P0DMV8","","Schizophrenias","disease","C0036341",0.75,2005,2008,2,1
"SV2A",9900,"ENSG00000159164","protein-coding","Q7L0J3; B4E000","Transporter","Schizophrenias","disease","C0036341",0.75,2012,2012,1,1
"CETN1",1068,"ENSG00000177143","protein-coding","A0A140VJG3; Q12798","Calcium-binding protein","Schizophrenias","disease","C0036341",0.75,2011,2014,2,1
"SLC6A3",6531,"ENSG00000142319","protein-coding","Q01959","Transporter","Anxiety Disorder","disease","C0003469",0.75,2008,2008,1,0.91304347826087
"MAOA",4128,"ENSG00000189221","protein-coding","P21397; Q53YE7; Q49A63","","Schizophrenias","disease","C0036341",0.75,2014,2014,2,0.782608695652174
"MIF",4282,"ENSG00000240972","protein-coding","P14174; I4AY87","","Depression","disease","C0011570",0.75,2011,2011,1,1
"CNR1",1268,"ENSG00000118432","protein-coding","S5TLS4; P21554; V5KA96","G-protein coupled receptor","Anxiety Disorder","disease","C0003469",0.75,2004,2008,2,0.96875
"CRH",1392,"ENSG00000147571","protein-coding","A0A0S2Z478; P06850","Signaling","Anxiety Disorder","disease","C0003469",0.75,1994,2012,11,0.94
"COMT",1312,"ENSG00000093010","protein-coding","A0A140VJG8; P21964","Enzyme","Depression","disease","C0011570",0.75,2014,2014,5,0.817204301075269
"FOS",2353,"ENSG00000170345","protein-coding","Q6FG41; P01100","Transcription factor","Anxiety Disorder","disease","C0003469",0.75,2006,2006,1,1
"GABRB3",2562,"ENSG00000166206","protein-coding","X5DQY4; P28472; B2RCW8","Ion channel","Childhood autism","disease","C0004352",0.75,1998,2002,2,0.892857142857143
"NOS1",4842,"ENSG00000089250","protein-coding","A0PJJ7; B4DG68; B3VK56; P29475","","Depression","disease","C0011570",0.75,2007,2007,1,0.857142857142857
"GRIN2B",2904,"ENSG00000273079","protein-coding","Q13224; A0A8D9PHB2","Ion channel","Depression","disease","C0011570",0.75,2010,2014,4,0.953488372093023
"CNR2",1269,"ENSG00000188822","protein-coding","P34972","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.75,2010,2013,3,0.833333333333333
"MAOA",4128,"ENSG00000189221","protein-coding","P21397; Q49A63; Q53YE7","","Attention Deficit Disorder with Hyperactivity","disease","C1263846",0.75,NA,NA,0,0.903846153846154
"DRD3",1814,"ENSG00000151577","protein-coding","A1A4V4; A8K8E4; E9PCM4; P35462; X5D2G4","G-protein coupled receptor","Depression","disease","C0011570",0.75,2007,2013,5,0.823529411764706
"ADRA2A",150,"ENSG00000150594","protein-coding","P08913","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.75,2013,2014,2,0.846153846153846
"SLC1A2",6506,"ENSG00000110436","protein-coding","A0A2U3TZS7; A0A2R8YFE3; A0A2R8Y860; A2A2U1; P43004","Transporter","Depression","disease","C0011570",0.75,2005,2012,3,1
"TTR",7276,"ENSG00000118271","protein-coding","E9KL36; P02766","Transporter","Depression","disease","C0011570",0.75,1985,2009,5,0.833333333333333
"NR3C1",2908,"ENSG00000113580","protein-coding","E5KQF6; E5KQF5; P04150; F1D8N4","Nuclear receptor","Schizophrenias","disease","C0036341",0.75,2004,2011,2,0.909090909090909
"SCT",6343,"ENSG00000070031","protein-coding","P09683","","Childhood autism","disease","C0004352",0.75,2003,2006,4,0.8125
"SOD2",6648,"ENSG00000291237","protein-coding","A0A384NL29; Q96AM7; P04179; Q9UG59; G5E9P6","Enzyme","Depression","disease","C0011570",0.75,2012,2012,1,1
"SP4",6671,"ENSG00000105866","protein-coding","Q32M51; A0A3B3IRW4; Q02446","Nucleic acid binding","Schizophrenias","disease","C0036341",0.75,2009,2009,1,0.866666666666667
"HTR7",3363,"ENSG00000148680","protein-coding","P34969","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.75,2002,2002,1,0.666666666666667
"GAL",51083,"ENSG00000069482","protein-coding","P22466","","Depression","disease","C0011570",0.75,2013,2014,5,1
"SREBF1",6720,"ENSG00000072310","protein-coding","P36956; B3KR77","","Schizophrenias","disease","C0036341",0.75,2010,2010,1,0.9
"SLC18A2",6571,"ENSG00000165646","protein-coding","Q05940","Transporter","Schizophrenias","disease","C0036341",0.75,2008,2013,3,0.846153846153846
"FTO",79068,"ENSG00000140718","protein-coding","Q9C0B1; Q99770; A0A1B0GTC5; B3KU60","","Depression","disease","C0011570",0.75,2013,2013,1,0.833333333333333
"APOE",348,"ENSG00000130203","protein-coding","P02649; A0A0S2Z3D5","","Schizophrenias","disease","C0036341",0.75,2008,2008,1,0.696428571428571
"FADS2",9415,"ENSG00000134824","protein-coding","O95864","","Bipolar Disorders","disease","C0005586",0.75,2011,2019,2,1
"ERBB3",2065,"ENSG00000065361","protein-coding","P21860","Kinase","Schizophrenias","disease","C0036341",0.75,2009,2009,1,0.869565217391304
"GRIN2A",2903,"ENSG00000183454","protein-coding","Q59EW6; Q547U9; Q12879; A0A890YTL4","Ion channel","Depression","disease","C0011570",0.75,2006,2013,4,1
"TNFRSF1B",7133,"ENSG00000028137","protein-coding","P20333","","Schizophrenias","disease","C0036341",0.75,2011,2011,1,0.833333333333333
"IFNG",3458,"ENSG00000111537","protein-coding","A0A7R8GUN6; P01579","","Bipolar Disorders","disease","C0005586",0.75,2012,2012,1,0.8
"ADCYAP1",116,"ENSG00000141433","protein-coding","B7Z222; P18509","Signaling","Schizophrenias","disease","C0036341",0.75,2012,2014,3,0.9
"IGF1",3479,"ENSG00000017427","protein-coding","Q5U743; P05019; Q13429; Q59GC5","","Bipolar Disorders","disease","C0005586",0.7,2011,2013,2,0.777777777777778
"TLR4",7099,"ENSG00000136869","protein-coding","O00206","","Bipolar Disorders","disease","C0005586",0.7,2014,2014,1,1
"MAP2",4133,"ENSG00000078018","protein-coding","A0A024R3Z1; P11137; Q6NYC5","","Bipolar Disorders","disease","C0005586",0.7,2004,2004,1,1
"VEGFA",7422,"ENSG00000112715","protein-coding","P15692; A2A2V4; A0A0Y0IMM4","Signaling","Bipolar Disorders","disease","C0005586",0.7,2011,2013,2,1
"LEP",3952,"ENSG00000174697","protein-coding","A4D0Y8; P41159","","Childhood autism","disease","C0004352",0.7,2008,2008,1,1
"APP",351,"ENSG00000142192","protein-coding","A0A0A0MRG2; E9PG40; P05067; B4DGD0; B4DJT9; A0A140VJC8","Enzyme modulator","Bipolar Disorders","disease","C0005586",0.7,2002,2002,1,0.888888888888889
"AVP",551,"ENSG00000101200","protein-coding","P01185; X5DQP6","Signaling","Bipolar Disorders","disease","C0005586",0.7,2013,2013,1,1
"CYP3A4",1576,"ENSG00000160868","protein-coding","Q6GRK0; P08684","Enzyme","Schizophrenias","disease","C0036341",0.7,2009,2009,1,0.857142857142857
"CYP3A5",1577,"ENSG00000106258","protein-coding","B7Z3P6; P20815","Enzyme","Schizophrenias","disease","C0036341",0.7,2008,2010,3,1
"GNB3",2784,"ENSG00000111664","protein-coding","E9PCP0; F1T0G5; P16520","Enzyme","Schizophrenias","disease","C0036341",0.7,2005,2005,1,0.75
"GAP43",2596,"ENSG00000172020","protein-coding","Q5U058; P17677","","Bipolar Disorders","disease","C0005586",0.7,2001,2001,1,0.666666666666667
"PRL",5617,"ENSG00000172179","protein-coding","P01236; Q5THQ0; Q5I0G2","Signaling","Childhood autism","disease","C0004352",0.7,2008,2008,1,1
"PLA2G6",8398,"ENSG00000184381","protein-coding","O60733","Enzyme modulator","Schizophrenias","disease","C0036341",0.7,2004,2004,1,1
"IL6R",3570,"ENSG00000160712","protein-coding","A0N0L5; A0A087WTB5; P08887","Signaling","Schizophrenias","disease","C0036341",0.7,1994,1994,1,0.875
"GFAP",2670,"ENSG00000131095","protein-coding","P14136","","Bipolar Disorders","disease","C0005586",0.7,2010,2010,1,0.777777777777778
"EEF1A2",1917,"ENSG00000101210","protein-coding","Q05639","Enzyme","Childhood autism","disease","C0004352",0.7,2021,2021,1,1
"GABRB1",2560,"ENSG00000163288","protein-coding","X5DNL6; P18505","Ion channel","Childhood autism","disease","C0004352",0.7,2005,2006,2,1
"HLA-DRB1",3123,"ENSG00000196126","protein-coding","X5DNQ0; A0A224MM52; Q5Y7D1; P01911; D7RIH8","Immune response","Childhood autism","disease","C0004352",0.7,1996,1996,1,1
"IFNG",3458,"ENSG00000111537","protein-coding","A0A7R8GUN6; P01579","","Childhood autism","disease","C0004352",0.7,2006,2006,1,1
"JARID2",3720,"ENSG00000008083","protein-coding","Q92833","Transcription factor","Childhood autism","disease","C0004352",0.7,2021,2021,1,1
"LAMB1",3912,"ENSG00000091136","protein-coding","Q8TAS6; P07942","Enzyme modulator","Childhood autism","disease","C0004352",0.7,2005,2005,1,1
"LMAN2L",81562,"ENSG00000114988","protein-coding","B4DVH1; Q9H0V9; B4DI83; B4E308","Transporter","Bipolar Disorders","disease","C0005586",0.7,2014,2019,2,0.857142857142857
"MBL2",4153,"ENSG00000165471","protein-coding","P11226","Receptor","Bipolar Disorders","disease","C0005586",0.7,2014,2014,1,1
"PDE4B",5142,"ENSG00000184588","protein-coding","Q07343; X5DNX5; X5DR82; Q59GM8; Q68CX5","","Bipolar Disorders","disease","C0005586",0.7,2007,2010,4,1
"SSTR5",6755,"ENSG00000162009","protein-coding","P35346","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.7,2002,2010,2,1
"DRD4",1815,"ENSG00000069696","protein-coding","P21917","G-protein coupled receptor","Depression","disease","C0011570",0.7,2013,2014,5,0.8
"FGFR1",2260,"ENSG00000077782","protein-coding","A0A0S2Z3Q6; P11362","Kinase","Depression","disease","C0011570",0.7,2003,2013,5,1
"NLGN1",22871,"ENSG00000169760","protein-coding","Q8N2Q7","","Schizophrenias","disease","C0036341",0.7,2011,2011,1,1
"HSPA1L",3305,"ENSG00000204390","protein-coding","P34931; A0A1U9X7W7","","Schizophrenias","disease","C0036341",0.7,2008,2009,2,0.8
"TBP",6908,"ENSG00000112592","protein-coding","P20226; Q32MN7","Transcription factor","Schizophrenias","disease","C0036341",0.7,2005,2009,2,1
"TCF7L2",6934,"ENSG00000148737","protein-coding","C6ZRK1; Q5VVR7; A0A994J711; Q6FHW4; Q9NQB0; C6ZRJ7; C6ZRK5; A0A0A0MTL7; C6ZRK2","","Schizophrenias","disease","C0036341",0.7,2009,2012,4,1
"SLC25A27",9481,"ENSG00000153291","protein-coding","O95847; B4DHR4","Transporter","Schizophrenias","disease","C0036341",0.7,2007,2011,2,0.5
"PIP4K2A",5305,"ENSG00000150867","protein-coding","P48426","Kinase","Schizophrenias","disease","C0036341",0.7,2008,2010,3,0.785714285714286
"PPARGC1A",10891,"ENSG00000109819","protein-coding","Q9UBK2","Transcription factor","Schizophrenias","disease","C0036341",0.7,2013,2013,1,1
"DNMT3B",1789,"ENSG00000088305","protein-coding","Q9UBC3","","Schizophrenias","disease","C0036341",0.7,2014,2014,1,0.888888888888889
"DRD1",1812,"ENSG00000184845","protein-coding","P21728","G-protein coupled receptor","Depression","disease","C0011570",0.7,2007,2013,3,0.888888888888889
"PLA2G4A",5321,"ENSG00000116711","protein-coding","P47712; B4DZI4","Enzyme","Schizophrenias","disease","C0036341",0.7,2005,2008,4,0.833333333333333
"DBH",1621,"ENSG00000123454","protein-coding","P09172","","Bipolar Disorders","disease","C0005586",0.7,1994,2013,5,0.923076923076923
"MAOA",4128,"ENSG00000189221","protein-coding","Q53YE7; P21397; Q49A63","","Bipolar Disorders","disease","C0005586",0.7,2010,2013,3,0.727272727272727
"PPP1R1B",84152,"ENSG00000131771","protein-coding","B3KVQ9; Q9UD71","Enzyme modulator","Bipolar Disorders","disease","C0005586",0.7,2008,2014,4,0.857142857142857
"IL18",3606,"ENSG00000150782","protein-coding","Q14116","","Schizophrenias","disease","C0036341",0.7,2008,2008,1,0.928571428571429
"CRHBP",1393,"ENSG00000145708","protein-coding","P24387","Signaling","Depression","disease","C0011570",0.7,1996,2007,2,1
"TACR1",6869,"ENSG00000115353","protein-coding","P25103","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.7,2009,2014,3,1
"CNTF",1270,"ENSG00000242689","protein-coding","P26441","","Schizophrenias","disease","C0036341",0.7,2008,2008,1,0.636363636363636
"ATP2A2",488,"ENSG00000174437","protein-coding","A0A0S2Z3L2; P16615","Transporter","Schizophrenias","disease","C0036341",0.7,2012,2012,1,1
"HLA-A",3105,"ENSG00000206503","protein-coding","Q5SUL5; B2R7U3; B1PKY1; P04439","","Schizophrenias","disease","C0036341",0.7,2013,2013,2,0.75
"TPH2",121278,"ENSG00000139287","protein-coding","Q8IWU9","","Bipolar Disorders","disease","C0005586",0.7,2011,2015,5,0.85
"MAP2K7",5609,"ENSG00000076984","protein-coding","O14733; B4DV95","Kinase","Schizophrenias","disease","C0036341",0.7,2012,2012,1,1
